Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
57,Magomed Ankalaev,Ion Cutelaba,-335,250,Red,29.85074627,250.0
58,Stefan Struve,Tai Tuivasa,-112,-112,Blue,89.28571429,89.28571429
59,Nathaniel Wood,Casey Kenney,140,-177,Blue,140.0,56.49717514
60,Alex Oliveira,Shavkat Rakhmonov,-112,-112,Blue,89.28571429,89.28571429
61,Liana Jojua,Miranda Maverick,295,-400,Blue,295.0,25.0
62,Joel Alvarez,Alexander Yakovlev,-175,138,Red,57.14285714,138.0
63,Brian Ortega,Chan Sung Jung,160,-200,Red,160.0,50.0
64,Katlyn Chookagian,Jessica Andrade,130,-159,Blue,130.0,62.89308176
65,Jimmy Crute,Modestas Bukauskas,-335,250,Red,29.85074627,250.0
66,Claudio Silva,James Krause,120,-150,Blue,120.0,66.66666667
67,Thomas Almeida,Jonathan Martinez,-139,110,Blue,71.94244604,110.0
68,Mateusz Gamrot,Guram Kutateladze,-335,245,Blue,29.85074627,245.0
69,Gillian Robertson,Poliana Botelho,-215,169,Red,46.51162791,169.0
70,Junyong Park,John Phillips,-278,215,Red,35.97122302,215.0
71,Jamie Mullarkey,Fares Ziam,-137,110,Blue,72.99270073,110.0
72,Gadzhimurad Antigulov,Maxim Grishin,277,-375,Blue,277.0,26.66666667
73,Said Nurmagomedov,Mark Striegl,-435,317,Red,22.98850575,317.0
74,Marlon Moraes,Cory Sandhagen,115,-141,Blue,115.0,70.92198582
75,Edson Barboza,Makwan Amirkhani,-286,225,Red,34.96503497,225.0
76,Ben Rothwell,Marcin Tybura,-159,130,Blue,62.89308176,130.0
77,Markus Perez,Dricus Du Plessis,133,-167,Blue,133.0,59.88023952
78,Tom Aspinall,Alan Baudot,-560,400,Red,17.85714286,400.0
79,Youssef Zalal,Ilia Topuria,-162,130,Blue,61.72839506,130.0
80,Tom Breese,KB Bhullar,-275,210,Red,36.36363636,210.0
81,Chris Daukaus,Rodrigo Nascimento,205,-265,Red,205.0,37.73584906
82,Impa Kasanganay,Joaquin Buckley,-265,200,Blue,37.73584906,200.0
83,Ali AlQaisi,Tony Kelley,190,-245,Blue,190.0,40.81632653
84,Giga Chikadze,Omar Morales,136,-175,Red,136.0,57.14285714
85,Tracy Cortez,Stephanie Egger,-205,160,Red,48.780487799999996,160.0
86,Bruno Silva,Tagir Ulanbekov,321,-455,Blue,321.0,21.97802198
87,Holly Holm,Irene Aldana,-125,103,Red,80.0,103.0
88,Yorgan De Castro,Carlos Felipe,-265,205,Blue,37.73584906,205.0
89,Germaine de Randamie,Julianna Pena,-150,122,Red,66.66666667,122.0
90,Kyler Phillips,Cameron Else,-480,342,Red,20.83333333,342.0
91,Dequan Townsend,Dusko Todorovic,245,-335,Blue,245.0,29.85074627
92,Carlos Condit,Court McGee,111,-137,Red,111.0,72.99270073
93,Jordan Williams,Nassourdine Imavov,-125,105,Blue,80.0,105.0
94,Loma Lookboonmee,Jinh Yu Frey,-150,120,Red,66.66666667,120.0
95,Casey Kenney,Heili Alateng,-335,246,Red,29.85074627,246.0
96,Luigi Vendramini,Jessin Ayari,-109,-114,Red,91.74311927,87.71929825
97,Israel Adesanya,Paulo Costa,-186,151,Red,53.76344086,151.0
98,Dominick Reyes,Jan Blachowicz,-265,215,Blue,37.73584906,215.0
99,Kai Kara-France,Brandon Royval,-240,188,Blue,41.66666667,188.0
100,Ketlen Vieira,Sijara Eubanks,-190,150,Red,52.63157895,150.0
101,Hakeem Dawodu,Zubaira Tukhugov,115,-143,Red,115.0,69.93006993
102,Brad Riddell,Alex Da Silva,-335,253,Red,29.85074627,253.0
103,Diego Sanchez,Jake Matthews,470,-715,Blue,470.0,13.98601399
104,Shane Young,Ludovit Klein,108,-129,Blue,108.0,77.51937984
105,William Knight,Aleksa Camur,134,-167,Red,134.0,59.88023952
106,Juan Espino,Jeff Hughes,-305,233,Red,32.78688525,233.0
107,Khadis Ibragimov,Danilo Marques,-182,150,Blue,54.94505495,150.0
108,Colby Covington,Tyron Woodley,-335,260,Red,29.85074627,260.0
109,Khamzat Chimaev,Gerald Meerschaert,-400,300,Red,25.0,300.0
110,Johnny Walker,Ryan Spann,-125,100,Red,80.0,100.0
111,Mackenzie Dern,Randa Markos,-177,140,Red,56.49717514,140.0
112,Kevin Holland,Darren Stewart,-265,205,Red,37.73584906,205.0
113,Jordan Espinosa,David Dvorak,-112,-112,Blue,89.28571429,89.28571429
114,Mirsad Bektic,Damon Jackson,-375,277,Blue,26.66666667,277.0
115,Mayra Bueno Silva,Mara Romero Borella,-275,210,Red,36.36363636,210.0
116,Jessica-Rose Clark,Sarah Alpar,-230,180,Red,43.47826087,180.0
117,Darrick Minner,TJ Laramie,245,-335,Red,245.0,29.85074627
118,Journey Newson,Randy Costa,-137,110,Blue,72.99270073,110.0
119,Andre Ewell,Irwin Rivera,-240,187,Red,41.66666667,187.0
120,Tyson Nam,Jerome Rivera,-190,150,Red,52.63157895,150.0
121,Michelle Waterson,Angela Hill,105,-125,Red,105.0,80.0
122,Ottman Azaitar,Khama Worthy,110,-137,Red,110.0,72.99270073
123,Roxanne Modafferi,Andrea Lee,240,-335,Red,240.0,29.85074627
124,Ed Herman,Mike Rodriguez,195,-250,Red,195.0,40.0
125,Billy Quarantillo,Kyle Nelson,-250,195,Red,40.0,195.0
126,Julia Avila,Sijara Eubanks,-305,230,Blue,32.78688525,230.0
127,Roosevelt Roberts,Kevin Croom,-385,286,Blue,25.97402597,286.0
128,Alexandr Romanov,Roque Martinez,-360,275,Red,27.77777778,275.0
129,Bobby Green,Alan Patrick,-295,227,Red,33.89830508,227.0
130,Brok Weaver,Jalin Turner,306,-420,Blue,306.0,23.80952381
131,Bryan Barberena,Anthony Ivy,-278,215,Red,35.97122302,215.0
132,Sabina Mazo,Justine Kish,-265,200,Red,37.73584906,200.0
133,Alistair Overeem,Augusto Sakai,-159,130,Red,62.89308176,130.0
134,Ovince Saint Preux,Alonzo Menifield,110,-134,Red,110.0,74.62686567
135,Michel Pereira,Zelim Imadaev,-112,-112,Red,89.28571429,89.28571429
136,Brian Kelleher,Ray Rodriguez,-380,315,Red,26.31578947,315.0
137,Andre Muniz,Bartosz Fabinski,132,-165,Red,132.0,60.60606061
138,Viviane Araujo,Montana De La Rosa,-182,145,Red,54.94505495,145.0
139,Cole Smith,Hunter Azure,185,-235,Blue,185.0,42.55319149
140,Anthony Smith,Aleksandar Rakic,225,-278,Blue,225.0,35.97122302
141,Robbie Lawler,Neil Magny,200,-250,Blue,200.0,40.0
142,Ji Yeon Kim,Alexa Grasso,230,-315,Blue,230.0,31.74603175
143,Ricardo Lamas,Bill Algeo,-335,240,Red,29.85074627,240.0
144,Maki Pitolo,Impa Kasanganay,115,-139,Blue,115.0,71.94244604
145,Mallory Martin,Hannah Cifers,-315,239,Red,31.74603175,239.0
146,Alessio Di Chirico,Zak Cummings,-114,-109,Blue,87.71929825,91.74311927
147,Alex Caceres,Austin Springer,-225,176,Red,44.44444444,176.0
148,Polyana Viana,Emily Whitmire,110,-139,Red,110.0,71.94244604
149,Sean Brady,Christian Aguilera,-455,330,Red,21.97802198,330.0
150,Pedro Munhoz,Frankie Edgar,-278,225,Blue,35.97122302,225.0
151,Marcin Prachnio,Mike Rodriguez,188,-240,Blue,188.0,41.66666667
152,Mariya Agapova,Shana Dobson,-1430,750,Blue,6.993006993,750.0
153,Daniel Rodriguez,Dwight Grant,-230,180,Red,43.47826087,180.0
154,Amanda Lemos,Mizuki Inoue,110,-137,Red,110.0,72.99270073
155,Austin Hubbard,Joe Solecki,-112,-112,Blue,89.28571429,89.28571429
156,Ike Villanueva,Jordan Wright,104,-129,Blue,104.0,77.51937984
157,Carlton Minus,Matthew Semelsberger,-118,-106,Blue,84.74576271,94.33962264
158,Timur Valiev,Trevin Jones,-560,387,Blue,17.85714286,387.0
159,Stipe Miocic,Daniel Cormier,-106,-112,Red,94.33962264,89.28571429
160,Sean O'Malley,Marlon Vera,-305,240,Blue,32.78688525,240.0
161,Junior Dos Santos,Jairzinho Rozenstruik,115,-143,Blue,115.0,69.93006993
162,John Dodson,Merab Dvalishvili,188,-240,Blue,188.0,41.66666667
163,Jim Miller,Vinc Pichel,100,-124,Blue,100.0,80.64516129
164,Ashley Yoder,Livinha Souza,130,-162,Blue,130.0,61.72839506
165,Felice Herrig,Virna Jandiroba,240,-315,Blue,240.0,31.74603175
166,Herbert Burns,Daniel Pineda,-286,225,Blue,34.96503497,225.0
167,TJ Brown,Danny Chavez,-167,130,Blue,59.88023952,130.0
168,Chris Daukaus,Parker Porter,-106,-118,Red,94.33962264,84.74576271
169,Derrick Lewis,Aleksei Oleinik,-200,160,Red,50.0,160.0
170,Omari Akhmedov,Chris Weidman,115,-141,Blue,115.0,70.92198582
171,Maki Pitolo,Darren Stewart,125,-155,Blue,125.0,64.51612903
172,Yana Kunitskaya,Julija Stoliarenko,-190,150,Red,52.63157895,150.0
173,Beneil Dariush,Scott Holtzman,-200,160,Red,50.0,160.0
174,Tim Means,Laureano Staropoli,120,-150,Red,120.0,66.66666667
175,Kevin Holland,Joaquin Buckley,-455,333,Red,21.97802198,333.0
176,Nasrat Haqparast,Alex Munoz,-240,188,Red,41.66666667,188.0
177,Andrew Sanchez,Wellington Turman,130,-162,Red,130.0,61.72839506
178,Gavin Tucker,Justin Jaynes,-139,112,Red,71.94244604,112.0
179,Youssef Zalal,Peter Barrett,-480,340,Red,20.83333333,340.0
180,Irwin Rivera,Ali Qaisi,-186,148,Red,53.76344086,148.0
181,Derek Brunson,Edmen Shahbazyan,275,-360,Red,275.0,27.77777778
182,Joanne Calderwood,Jennifer Maia,-162,130,Blue,61.72839506,130.0
183,Vicente Luque,Randy Brown,-200,160,Red,50.0,160.0
184,Lando Vannata,Bobby Green,-162,130,Blue,61.72839506,130.0
185,Frankie Saenz,Jonathan Martinez,200,-250,Blue,200.0,40.0
186,Johnny Munoz,Nate Maness,110,-137,Blue,110.0,72.99270073
187,Jamall Emmers,Vince Cachero,-360,265,Red,27.77777778,265.0
188,Robert Whittaker,Darren Till,-130,107,Red,76.92307692,107.0
189,Mauricio Rua,Rogerio Nogueira,-190,150,Red,52.63157895,150.0
190,Fabricio Werdum,Alexander Gustafsson,260,-335,Red,260.0,29.85074627
191,Carla Esparza,Marina Rodriguez,145,-182,Red,145.0,54.94505495
192,Paul Craig,Gadzhimurad Antigulov,-137,110,Red,72.99270073,110.0
193,Alex Oliveira,Peter Sobotta,-182,145,Red,54.94505495,145.0
194,Khamzat Chimaev,Rhys McKee,-1250,700,Red,8.0,700.0
195,Francisco Trinaldo,Jai Herbert,-134,108,Red,74.62686567,108.0
196,Nicolas Dalby,Jesse Ronson,-265,205,Blue,37.73584906,205.0
197,Tom Aspinall,Jake Collier,-278,220,Red,35.97122302,220.0
198,Movsar Evloev,Mike Grundy,-200,161,Red,50.0,161.0
199,Tanner Boser,Raphael Pessoa,-278,220,Red,35.97122302,220.0
200,Bethe Correia,Pannie Kianzad,131,-162,Blue,131.0,61.72839506
201,Ramazan Emeev,Niklas Stolze,-400,300,Red,25.0,300.0
202,Nathaniel Wood,John Castaneda,-455,320,Red,21.97802198,320.0
203,Deiveson Figueiredo,Joseph Benavidez,-225,180,Red,44.44444444,180.0
204,Jack Hermansson,Kelvin Gastelum,-112,-112,Red,89.28571429,89.28571429
205,Marc Diakiese,Rafael Fiziev,-167,135,Blue,59.88023952,135.0
206,Ariane Lipski,Luana Carolina,-125,100,Red,80.0,100.0
207,Alexandre Pantoja,Askar Askarov,-210,165,Blue,47.61904762,165.0
208,Roman Dolidze,Khadis Ibragimov,-167,135,Red,59.88023952,135.0
209,Grant Dawson,Nad Narimani,-250,195,Red,40.0,195.0
210,Joe Duffy,Joel Alvarez,-335,250,Blue,29.85074627,250.0
211,Brett Johns,Montel Jackson,170,-215,Red,170.0,46.51162791
212,Malcolm Gordon,Amir Albazi,135,-167,Blue,135.0,59.88023952
