Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
41,Jalin Turner,Joshua Culibao,-210.0,175.0,Red,Uriah Hall,Anderson Silva,-230.0,185.0,Red,43.47826087,185.0
42,Jake Matthews,Emil Meek,-200.0,170.0,Red,Bryce Mitchell,Andre Fili,-150.0,120.0,Red,66.66666667,120.0
43,Callan Potter,Song Kenan,170.0,-200.0,Blue,Maurice Greene,Greg Hardy,250.0,-335.0,Blue,250.0,29.85074627
44,Kai Kara France,Tyson Nam,-260.0,220.0,Red,Kevin Holland,Charlie Ontiveros,-770.0,500.0,Red,13.98601399,475.0
45,Loma Lookboonmee,Angela Hill,155.0,-175.0,Blue,Bobby Green,Thiago Moises,-335.0,245.0,Blue,29.85074627,245.0
46,Priscila Cachoeira,Shana Dobson,180.0,-220.0,Red,Chris Gruetzemacher,Alexander Hernandez,315.0,-435.0,Blue,315.0,22.98850575
47,Francis Ngannou,Junior Dos Santos,-220.0,180.0,Red,Adrian Yanez,Victor Rodriguez,-500.0,356.0,Red,20.0,356.0
48,Jussier Formiga,Joseph Benavidez,105.0,-125.0,Blue,Sean Strickland,Jack Marshman,-375.0,277.0,Red,26.66666667,277.0
49,Demian Maia,Rocco Martin,-190.0,165.0,Red,Cole Williams,Jason Witt,119.0,-148.0,Blue,119.0,67.56756757
50,Roosevelt Roberts,Vinc Pichel,-245.0,205.0,Blue,Dustin Jacoby,Justin Ledet,-400.0,296.0,Red,25.0,296.0
51,Drew Dober,Marco Polo Reyes,-430.0,345.0,Red,Miles Johns,Kevin Natividad,-165.0,131.0,Red,60.60606061,131.0
52,Alonzo Menifield,Paul Craig,-350.0,290.0,Red,Khabib Nurmagomedov,Justin Gaethje,-315.0,255.0,Red,31.74603175,255.0
53,Ricardo Ramos,Journey Newson,-380.0,315.0,Red,Robert Whittaker,Jared Cannonier,-110.0,-110.0,Red,90.90909091,90.90909091
54,Eryk Anders,Vinicius Moreira,-300.0,250.0,Red,Alexander Volkov,Walt Harris,-190.0,150.0,Red,52.63157895,150.0
55,Jared Gordon,Dan Moret,-350.0,290.0,Red,Jacob Malkoun,Phillip Hawes,195.0,-250.0,Blue,195.0,40.0
56,Dalcha Lungiambula,Dequan Townsend,-420.0,335.0,Red,Lauren Murphy,Liliya Shakirova,-215.0,170.0,Red,46.51162791,170.0
57,Emily Whitmire,Amanda Ribas,-175.0,155.0,Blue,Magomed Ankalaev,Ion Cutelaba,-335.0,250.0,Red,29.85074627,250.0
58,Maurice Greene,Junior Albini,-125.0,105.0,Red,Stefan Struve,Tai Tuivasa,-112.0,-112.0,Blue,89.28571429,89.28571429
59,Renato Moicano,Chan Sung Jung,-220.0,180.0,Blue,Nathaniel Wood,Casey Kenney,140.0,-177.0,Blue,140.0,56.49717514
60,Bryan Barberena,Randy Brown,-235.0,195.0,Blue,Alex Oliveira,Shavkat Rakhmonov,-112.0,-112.0,Blue,89.28571429,89.28571429
61,Andre Ewell,Anderson Dos Santos,-140.0,120.0,Red,Liana Jojua,Miranda Maverick,295.0,-400.0,Blue,295.0,25.0
62,Andrea Lee,Montana De La Rosa,-185.0,160.0,Red,Joel Alvarez,Alexander Yakovlev,-175.0,138.0,Red,57.14285714,138.0
63,Kevin Holland,Alessio Di Chirico,-230.0,190.0,Red,Brian Ortega,Chan Sung Jung,160.0,-200.0,Red,160.0,50.0
64,Dan Ige,Kevin Aguilar,120.0,-140.0,Red,Katlyn Chookagian,Jessica Andrade,130.0,-159.0,Blue,130.0,62.89308176
65,Ashley Yoder,Syuri Kondo,-140.0,120.0,Red,Jimmy Crute,Modestas Bukauskas,-335.0,250.0,Red,29.85074627,250.0
66,Matt Wiman,Luis Pena,315.0,-380.0,Blue,Claudio Silva,James Krause,120.0,-150.0,Blue,120.0,66.66666667
