Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
1251,Luis Henrique,Arjan Bhullar,175.0,-210.0,Blue,Jacare Souza,Kelvin Gastelum,-115.0,-105.0,Blue,86.95652174,95.23809524
1252,Kajan Johnson,Adriano Martins,450.0,-600.0,Red,Mackenzie Dern,Amanda Cooper,-260.0,220.0,Red,38.46153846,220.0
1253,Alexander Volkov,Stefan Struve,-130.0,110.0,Red,John Lineker,Brian Kelleher,-265.0,225.0,Red,37.73584906,225.0
1254,Siyar Bahadurzada,Rob Wilkinson,-130.0,110.0,Red,Vitor Belfort,Lyoto Machida,165.0,-190.0,Blue,165.0,52.63157895
1255,Marion Reneau,Talita Bernardo,-320.0,260.0,Red,Cezar Ferreira,Karl Roberson,-150.0,130.0,Red,66.66666667,130.0
1256,Leon Edwards,Bryan Barberena,-250.0,210.0,Red,Aleksei Oleinik,Junior Albini,135.0,-145.0,Red,135.0,68.96551724
1257,Darren Till,Bojan Velickovic,-190.0,165.0,Red,Davi Ramos,Nick Hein,-185.0,160.0,Red,54.05405405,160.0
1258,Mairbek Taisumov,Felipe Silva,-525.0,450.0,Red,Elizeu Zaleski dos Santos,Sean Strickland,100.0,-120.0,Red,100.0,83.33333333
1259,Michel Prazeres,Mads Burnell,-390.0,320.0,Red,Warlley Alves,Sultan Aliev,-280.0,240.0,Red,35.71428571,240.0
1260,Rustam Khabilov,Desmond Green,-250.0,210.0,Red,Thales Leites,Jack Hermansson,110.0,-130.0,Blue,110.0,76.92307692
1261,Francimar Barroso,Aleksandar Rakic,125.0,-145.0,Blue,Alberto Mina,Ramazan Emeev,150.0,-170.0,Blue,150.0,58.82352941
1262,Mike Santiago,Zabit Magomedsharipov,325.0,-400.0,Blue,Markus Perez,James Bochnovic,-300.0,250.0,Red,33.33333333,250.0
1263,Bojan Mihajlovic,Abdul-Kerim Edilov,485.0,-670.0,Blue,Edson Barboza,Kevin Lee,145.0,-165.0,Blue,145.0,60.60606061
1264,Thibault Gouti,Andrew Holbrook,155.0,-175.0,Red,Frankie Edgar,Cub Swanson,-275.0,235.0,Red,36.36363636,235.0
1265,Sergio Pettis,Brandon Moreno,155.0,-175.0,Red,Justin Willis,Chase Sherman,-290.0,245.0,Red,34.48275862,245.0
1266,Randa Markos,Alexa Grasso,180.0,-220.0,Blue,David Branch,Thiago Santos,140.0,-160.0,Red,140.0,62.5
1267,Alan Jouban,Niko Price,-165.0,145.0,Blue,Aljamain Sterling,Brett Johns,-115.0,-105.0,Red,86.95652174,95.23809524
1268,Martin Bravo,Humberto Bandenay,-300.0,250.0,Blue,Jim Miller,Dan Hooker,250.0,-300.0,Blue,250.0,33.33333333
1269,Sam Alvey,Rashad Evans,-130.0,110.0,Red,Ryan LaFlare,Alex Garcia,-150.0,130.0,Red,66.66666667,130.0
1270,Alejandro Perez,Andre Soukhamthath,-165.0,145.0,Red,Merab Dvalishvili,Ricky Simon,-110.0,-110.0,Blue,90.90909091,90.90909091
1271,Bradley Scott,Jack Hermansson,240.0,-280.0,Blue,Siyar Bahadurzada,Luan Chagas,150.0,-170.0,Red,150.0,58.82352941
1272,Dustin Ortiz,Hector Sandoval,-175.0,155.0,Red,Corey Anderson,Patrick Cummins,-165.0,145.0,Red,60.60606061,145.0
1273,Henry Briones,Rani Yahya,190.0,-230.0,Blue,Anthony Rocco Martin,Keita Nakamura,-200.0,170.0,Red,50.0,170.0
1274,Jose Quinonez,Diego Rivas,-245.0,205.0,Red,Dustin Poirier,Justin Gaethje,-125.0,105.0,Red,80.0,105.0
1275,Joseph Morales,Roberto Sanchez,100.0,-120.0,Red,Carlos Condit,Alex Oliveira,155.0,-175.0,Blue,155.0,57.14285714
1276,Alvaro Herrera,Jordan Rinaldi,185.0,-225.0,Blue,Israel Adesanya,Marvin Vettori,-245.0,205.0,Red,40.81632653,205.0
1277,Daniel Cormier,Jon Jones,265.0,-325.0,Draw,Michelle Waterson,Cortney Casey,145.0,-165.0,Red,145.0,60.60606061
1278,Tyron Woodley,Demian Maia,-220.0,180.0,Red,Tim Boetsch,Antonio Carlos Junior,220.0,-260.0,Blue,220.0,38.46153846
1279,Cris Cyborg,Tonya Evinger,-1250.0,800.0,Red,Muslim Salikhov,Ricky Rainey,-210.0,175.0,Red,47.61904762,175.0
1280,Robbie Lawler,Donald Cerrone,-155.0,135.0,Red,Wilson Reis,John Moraga,-120.0,100.0,Blue,83.33333333,100.0
1281,Jimi Manuwa,Volkan Oezdemir,-175.0,155.0,Blue,Krzysztof Jotko,Brad Tavares,-130.0,110.0,Blue,76.92307692,110.0
1282,Ricardo Lamas,Jason Knight,-105.0,-115.0,Red,Gilbert Burns,Dan Moret,-640.0,470.0,Red,15.625,470.0
1283,Aljamain Sterling,Renan Barao,110.0,-130.0,Red,Shana Dobson,Lauren Mueller,140.0,-160.0,Blue,140.0,62.5
1284,Brian Ortega,Renato Moicano,160.0,-185.0,Red,Dhiego Lima,Yushin Okami,105.0,-125.0,Blue,105.0,80.0
1285,Andre Fili,Calvin Kattar,-175.0,155.0,Blue,Arjan Bhullar,Adam Wieczorek,-325.0,265.0,Blue,30.76923077,265.0
1286,Kailin Curran,Alexandra Albu,155.0,-175.0,Blue,Matthew Lopez,Alejandro Perez,-110.0,-110.0,Blue,90.90909091,90.90909091
1287,Eric Shelton,Jarred Brooks,125.0,-145.0,Blue,Luke Sanders,Patrick Williams,-430.0,345.0,Red,23.25581395,345.0
1288,Joshua Burkman,Drew Dober,255.0,-310.0,Blue,Khabib Nurmagomedov,Al Iaquinta,-640.0,470.0,Red,15.625,470.0
1289,Chris Weidman,Kelvin Gastelum,135.0,-155.0,Red,Rose Namajunas,Joanna Jedrzejczyk,-110.0,-110.0,Red,90.90909091,90.90909091
1290,Dennis Bermudez,Darren Elkins,-210.0,175.0,Blue,Renato Moicano,Calvin Kattar,-115.0,-105.0,Red,86.95652174,95.23809524
1291,Patrick Cummins,Gian Villante,175.0,-210.0,Red,Zabit Magomedsharipov,Kyle Bochniak,-700.0,500.0,Red,14.28571429,500.0
1292,Jimmie Rivera,Thomas Almeida,-185.0,160.0,Red,Joe Lauzon,Chris Gruetzemacher,-145.0,125.0,Blue,68.96551724,125.0
1293,Lyman Good,Elizeu Zaleski dos Santos,-150.0,130.0,Blue,Karolina Kowalkiewicz,Felice Herrig,-190.0,165.0,Red,52.63157895,165.0
1294,Rafael Natal,Eryk Anders,-105.0,-115.0,Blue,Evan Dunham,Olivier Aubin-Mercier,-140.0,120.0,Blue,71.42857143,120.0
1295,Ryan LaFlare,Alex Oliveira,-175.0,155.0,Blue,Bec Rawlings,Ashlee Evans-Smith,170.0,-200.0,Blue,170.0,50.0
1296,Damian Grabowski,Chase Sherman,205.0,-245.0,Blue,Devin Clark,Mike Rodriguez,-105.0,-115.0,Red,95.23809524,86.95652174
1297,Kyle Bochniak,Jeremy Kennedy,245.0,-290.0,Blue,Fabricio Werdum,Alexander Volkov,-210.0,175.0,Blue,47.61904762,175.0
1298,Brian Kelleher,Marlon Vera,-235.0,195.0,Blue,Jimi Manuwa,Jan Blachowicz,-150.0,130.0,Blue,66.66666667,130.0
1299,Tim Johnson,Junior Albini,-280.0,240.0,Blue,Tom Duquesnoy,Terrion Ware,-430.0,345.0,Red,23.25581395,345.0
1300,Shane Burgos,Godofredo Pepey,-700.0,500.0,Red,Leon Edwards,Peter Sobotta,-190.0,165.0,Red,52.63157895,165.0
1301,Frankie Perez,Chris Wade,300.0,-360.0,Blue,John Phillips,Charles Byrd,-115.0,-105.0,Blue,86.95652174,95.23809524
1302,Gunnar Nelson,Santiago Ponzinibbio,-174.0,164.0,Blue,Danny Roberts,Oliver Enkamp,-130.0,110.0,Red,76.92307692,110.0
1303,Joanne Calderwood,Cynthia Calvillo,180.0,-220.0,Blue,Danny Henry,Hakeem Dawodu,240.0,-260.0,Red,240.0,38.46153846
1304,Stevie Ray,Paul Felder,-185.0,160.0,Blue,Paul Craig,Magomed Ankalaev,550.0,-800.0,Red,550.0,12.5
1305,Jack Marshman,Ryan Janes,-500.0,400.0,Red,Stevie Ray,Kajan Johnson,-210.0,175.0,Blue,47.61904762,175.0
1306,Khalil Rountree Jr.,Paul Craig,-145.0,125.0,Red,Mark Godbeer,Dmitry Sosnovskiy,220.0,-260.0,Blue,220.0,38.46153846
1307,James Mulheron,Justin Willis,130.0,-140.0,Blue,Cris Cyborg,Yana Kunitskaya,-1000.0,650.0,Red,10.0,650.0
1308,Danny Roberts,Bobby Nash,-190.0,165.0,Red,Frankie Edgar,Brian Ortega,-155.0,135.0,Blue,64.51612903,135.0
1309,Alexandre Pantoja,Neil Seery,-350.0,290.0,Red,Sean O'Malley,Andre Soukhamthath,-145.0,125.0,Red,68.96551724,125.0
1310,Charlie Ward,Galore Bofando,175.0,-210.0,Blue,Stefan Struve,Andrei Arlovski,-185.0,160.0,Blue,54.05405405,160.0
1311,Danny Henry,Daniel Teymur,150.0,-170.0,Red,Cat Zingano,Ketlen Vieira,175.0,-210.0,Blue,175.0,47.61904762
1312,Brett Johns,Albert Morales,-350.0,290.0,Red,Ashley Yoder,Mackenzie Dern,390.0,-490.0,Blue,390.0,20.40816327
1313,Leslie Smith,Amanda Lemos,-225.0,185.0,Red,Beneil Dariush,Alexander Hernandez,-420.0,335.0,Blue,23.80952381,335.0
1314,Yoel Romero,Robert Whittaker,110.0,-130.0,Blue,John Dodson,Pedro Munhoz,-160.0,140.0,Red,62.5,140.0
1315,Fabricio Werdum,Alistair Overeem,120.0,-140.0,Blue,CB Dollaway,Hector Lombard,-110.0,-110.0,Red,90.90909091,90.90909091
1316,Daniel Omielanczuk,Curtis Blaydes,470.0,-640.0,Blue,Mike Pyle,Zak Ottow,270.0,-330.0,Blue,270.0,30.303030300000003
1317,Anthony Pettis,Jim Miller,-235.0,195.0,Red,Bryan Caraway,Cody Stamann,-105.0,-115.0,Blue,95.23809524,86.95652174
1318,Rob Font,Douglas Silva de Andrade,-265.0,225.0,Red,Jordan Johnson,Adam Milstead,-255.0,215.0,Red,39.21568627,215.0
1319,Travis Browne,Aleksei Oleinik,-290.0,245.0,Blue,Josh Emmett,Jeremy Stephens,110.0,-130.0,Blue,110.0,76.92307692
1320,Chad Laprise,Brian Camozzi,-550.0,425.0,Red,Jessica Andrade,Tecia Torres,-250.0,210.0,Red,40.0,210.0
1321,Thiago Santos,Gerald Meerschaert,-160.0,140.0,Red,Ovince Saint Preux,Ilir Latifi,-165.0,145.0,Blue,60.60606061,145.0
1322,Jordan Mein,Belal Muhammad,115.0,-135.0,Blue,Mike Perry,Max Griffin,-300.0,250.0,Blue,33.33333333,250.0
1323,Cody Stamann,Terrion Ware,-245.0,205.0,Red,Renan Barao,Brian Kelleher,-165.0,145.0,Blue,60.60606061,145.0
1324,Trevin Giles,James Bochnovic,-250.0,210.0,Red,Sara McMann,Marion Reneau,-190.0,165.0,Blue,52.63157895,165.0
1325,Michael Johnson,Justin Gaethje,-165.0,145.0,Blue,Maryna Moroz,Angela Hill,130.0,-150.0,Blue,130.0,66.66666667
1326,Dhiego Lima,Jesse Taylor,150.0,-170.0,Blue,Ben Saunders,Alan Jouban,210.0,-250.0,Blue,210.0,40.0
1327,Jared Cannonier,Nick Roehrick,-350.0,290.0,Red,Sam Alvey,Marcin Prachnio,180.0,-220.0,Red,180.0,45.45454545
1328,Brad Tavares,Elias Theodorou,-115.0,-105.0,Red,Rani Yahya,Russell Doane,-220.0,180.0,Red,45.45454545,180.0
1329,Jordan Johnson,Marcel Fortuna,-190.0,165.0,Red,Eric Shelton,Alex Perez,-140.0,120.0,Blue,71.42857143,120.0
1330,Angela Hill,Ashley Yoder,-340.0,280.0,Red,Albert Morales,Manny Bermudez,155.0,-175.0,Blue,155.0,57.14285714
1331,James Krause,Tom Gallicchio,-550.0,425.0,Red,Donald Cerrone,Yancy Medeiros,100.0,-120.0,Red,100.0,83.33333333
1332,Ed Herman,CB Dollaway,125.0,-145.0,Blue,Derrick Lewis,Marcin Tybura,-110.0,-110.0,Red,90.90909091,90.90909091
1333,Tecia Torres,Juliana Lima,-470.0,375.0,Red,James Vick,Francisco Trinaldo,-210.0,175.0,Red,47.61904762,175.0
1334,Gray Maynard,Teruto Ishihara,285.0,-345.0,Red,Thiago Alves,Curtis Millender,-150.0,130.0,Blue,66.66666667,130.0
1335,Michael Chiesa,Kevin Lee,125.0,-145.0,Blue,Steven Peterson,Brandon Davis,130.0,-150.0,Blue,130.0,66.66666667
1336,Tim Boetsch,Johny Hendricks,125.0,-145.0,Red,Sage Northcutt,Thibault Gouti,-375.0,313.0,Red,26.66666667,313.0
1337,Felice Herrig,Justine Kish,140.0,-160.0,Red,Jared Gordon,Diego Ferreira,-175.0,155.0,Blue,57.14285714,155.0
1338,Tim Means,Alex Garcia,-310.0,255.0,Red,Geoff Neal,Brian Camozzi,-210.0,175.0,Red,47.61904762,175.0
1339,BJ Penn,Dennis Siver,115.0,-135.0,Blue,Roberto Sanchez,Joby Sanchez,135.0,-145.0,Red,135.0,68.96551724
1340,Clay Guida,Erik Koch,290.0,-350.0,Red,Sarah Moras,Lucie Pudilova,130.0,-150.0,Blue,130.0,66.66666667
1341,Vitor Miranda,Marvin Vettori,315.0,-380.0,Blue,Joshua Burkman,Alex Morono,300.0,-360.0,Blue,300.0,27.77777778
1342,Devin Powell,Darrell Horcher,360.0,-450.0,Blue,Oskar Piechota,Tim Williams,-340.0,280.0,Red,29.41176471,280.0
1343,Jared Gordon,Michel Quinones,-135.0,115.0,Red,Yoel Romero,Luke Rockhold,160.0,-185.0,Red,160.0,54.05405405
1344,Anthony Rocco Martin,Johnny Case,-125.0,105.0,Red,Mark Hunt,Curtis Blaydes,165.0,-190.0,Blue,165.0,52.63157895
1345,Josh Stansbury,Jeremy Kimball,-160.0,140.0,Blue,Tai Tuivasa,Cyril Asker,-275.0,235.0,Red,36.36363636,235.0
1346,Holly Holm,Bethe Correia,-570.0,435.0,Red,Jake Matthews,Li Jingliang,125.0,-145.0,Red,125.0,68.96551724
1347,Andrei Arlovski,Marcin Tybura,190.0,-230.0,Blue,Tyson Pedro,Saparbeg Safarov,-300.0,250.0,Red,33.33333333,250.0
1348,Dong Hyun Kim,Colby Covington,200.0,-240.0,Blue,Damien Brown,Dong Hyun Ma,115.0,-135.0,Blue,115.0,74.07407407
1349,Tarec Saffiedine,Rafael Dos Anjos,170.0,-200.0,Blue,Rob Wilkinson,Israel Adesanya,305.0,-365.0,Blue,305.0,27.39726027
1350,Takanori Gomi,Jon Tuck,325.0,-360.0,Blue,Alexander Volkanovski,Jeremy Kennedy,-200.0,170.0,Red,50.0,170.0
1351,Cyril Asker,Walt Harris,300.0,-360.0,Blue,Jussier Formiga,Ben Nguyen,-110.0,-110.0,Red,90.90909091,90.90909091
1352,Alex Caceres,Rolando Dy,-320.0,260.0,Red,Ross Pearson,Mizuto Hirota,-160.0,140.0,Red,62.5,140.0
1353,Justin Scoggins,Ulka Sasaki,-525.0,415.0,Blue,Teruto Ishihara,Jose Quinonez,135.0,-155.0,Blue,135.0,64.51612903
1354,Kwan Ho Kwak,Russell Doane,-120.0,100.0,Blue,Luke Jumeau,Daichi Abe,140.0,-160.0,Red,140.0,62.5
1355,Naoki Inoue,Carls John De Tomas,-275.0,235.0,Red,Lyoto Machida,Eryk Anders,205.0,-245.0,Red,205.0,40.81632653
1356,Ji Yeon Kim,Lucie Pudilova,100.0,-120.0,Blue,Valentina Shevchenko,Priscila Cachoeira,-1100.0,700.0,Red,9.090909091,700.0
1357,Derrick Lewis,Mark Hunt,-150.0,130.0,Blue,Michel Prazeres,Desmond Green,-120.0,100.0,Red,83.33333333,100.0
1358,Derek Brunson,Daniel Kelly,-250.0,210.0,Red,Tim Johnson,Marcelo Golm,150.0,-170.0,Red,150.0,58.82352941
1359,Dan Hooker,Ross Pearson,-145.0,125.0,Red,Douglas Silva de Andrade,Marlon Vera,165.0,-190.0,Red,165.0,52.63157895
1360,Ion Cutelaba,Henrique da Silva,-305.0,275.0,Red,Thiago Santos,Anthony Smith,-255.0,215.0,Red,39.21568627,215.0
1361,Tim Elliott,Ben Nguyen,-170.0,160.0,Blue,Sergio Moraes,Tim Means,173.0,-205.0,Red,173.0,48.780487799999996
1362,Alexander Volkanovski,Mizuto Hirota,-580.0,440.0,Red,Alan Patrick,Damir Hadzovic,-240.0,200.0,Red,41.66666667,200.0
1363,Damien Brown,Vinc Pichel,105.0,-125.0,Blue,Maia Stevenson,Polyana Viana,350.0,-440.0,Blue,350.0,22.72727273
1364,Luke Jumeau,Dominique Steele,175.0,-210.0,Red,Iuri Alcantara,Joe Soto,-120.0,100.0,Red,83.33333333,100.0
1365,John Moraga,Ashkan Mokhtarian,-210.0,175.0,Red,Deiveson Figueiredo,Joseph Morales,110.0,-130.0,Red,110.0,76.92307692
1366,Kiichi Kunimoto,Zak Ottow,310.0,-370.0,Blue,Jacare Souza,Derek Brunson,120.0,-140.0,Red,120.0,71.42857143
1367,JJ Aldrich,Chanmi Jeon,-200.0,170.0,Red,Dennis Bermudez,Andre Fili,-150.0,130.0,Blue,66.66666667,130.0
1368,Jose Aldo,Max Holloway,-145.0,125.0,Blue,Jordan Rinaldi,Gregor Gillespie,425.0,-550.0,Blue,425.0,18.18181818
1369,Claudia Gadelha,Karolina Kowalkiewicz,-280.0,240.0,Red,Drew Dober,Frank Camacho,-140.0,120.0,Red,71.42857143,120.0
1370,Vitor Belfort,Nate Marquardt,-180.0,158.0,Red,Erik Koch,Bobby Green,155.0,-175.0,Blue,155.0,57.14285714
1371,Paulo Costa,Oluwale Bamgbose,-265.0,225.0,Red,Mirsad Bektic,Godofredo Pepey,-550.0,425.0,Red,18.18181818,425.0
1372,Erick Silva,Yancy Medeiros,120.0,-140.0,Blue,Katlyn Chookagian,Mara Romero Borella,-190.0,165.0,Red,52.63157895,165.0
1373,Raphael Assuncao,Marlon Moraes,220.0,-260.0,Red,Randa Markos,Juliana Lima,-155.0,135.0,Red,64.51612903,135.0
1374,Johnny Eduardo,Matthew Lopez,-110.0,-110.0,Blue,Justine Kish,Ji Yeon Kim,-160.0,140.0,Blue,62.5,140.0
1375,Iuri Alcantara,Brian Kelleher,-380.0,315.0,Blue,Vinc Pichel,Joaquim Silva,110.0,-130.0,Red,110.0,76.92307692
1376,Viviane Pereira,Jamie Moyle,-180.0,158.0,Red,Niko Price,George Sullivan,-365.0,305.0,Red,27.39726027,305.0
1377,Luan Chagas,Jimmy Wallhead,-260.0,220.0,Red,Austin Arnett,Cory Sandhagen,170.0,-200.0,Blue,170.0,50.0
1378,Alexander Gustafsson,Glover Teixeira,-300.0,250.0,Red,Stipe Miocic,Francis Ngannou,150.0,-170.0,Red,150.0,58.82352941
1379,Volkan Oezdemir,Misha Cirkunov,375.0,-470.0,Red,Daniel Cormier,Volkan Oezdemir,-345.0,285.0,Red,28.98550725,285.0
1380,Peter Sobotta,Ben Saunders,-135.0,115.0,Red,Calvin Kattar,Shane Burgos,190.0,-230.0,Red,190.0,43.47826087
1381,Abdul Razak Alhassan,Omari Akhmedov,-275.0,235.0,Blue,Gian Villante,Francimar Barroso,-155.0,135.0,Red,64.51612903,135.0
1382,Oliver Enkamp,Nordine Taleb,275.0,-335.0,Blue,Thomas Almeida,Rob Font,-145.0,125.0,Blue,68.96551724,125.0
1383,Jack Hermansson,Alex Nicholson,-165.0,145.0,Red,Kyle Bochniak,Brandon Davis,120.0,-140.0,Red,120.0,71.42857143
1384,Pedro Munhoz,Damian Stasiak,-670.0,485.0,Red,Sabah Homasi,Abdul Razak Alhassan,168.0,-195.0,Blue,168.0,51.28205128
1385,Trevor Smith,Chris Camozzi,130.0,-150.0,Red,Dustin Ortiz,Alexandre Pantoja,-135.0,115.0,Red,74.07407407,115.0
1386,Reza Madadi,Joaquim Silva,135.0,-155.0,Blue,Dan Ige,Julio Arce,120.0,-140.0,Blue,120.0,71.42857143
1387,Nico Musoke,Bojan Velickovic,-130.0,110.0,Blue,Matt Bessette,Enrique Barzola,245.0,-290.0,Blue,245.0,34.48275862
1388,Darren Till,Jessin Ayari,-275.0,235.0,Red,Islam Makhachev,Gleison Tibau,-290.0,245.0,Red,34.48275862,245.0
1389,Marcin Held,Damir Hadzovic,-290.0,245.0,Blue,Jeremy Stephens,Dooho Choi,145.0,-165.0,Red,145.0,60.60606061
1390,Stipe Miocic,Junior Dos Santos,-165.0,145.0,Red,Paige VanZant,Jessica-Rose Clark,-120.0,100.0,Blue,83.33333333,100.0
1391,Joanna Jedrzejczyk,Jessica Andrade,-190.0,165.0,Red,Kamaru Usman,Emil Meek,-750.0,525.0,Red,13.33333333,525.0
1392,Demian Maia,Jorge Masvidal,-115.0,-105.0,Red,Darren Elkins,Michael Johnson,175.0,-210.0,Red,175.0,47.61904762
1393,Frankie Edgar,Yair Rodriguez,-140.0,120.0,Red,James Krause,Alex White,-180.0,158.0,Red,55.55555556,158.0
1394,Krzysztof Jotko,David Branch,-170.0,150.0,Blue,Matt Frevola,Polo Reyes,-200.0,185.0,Blue,50.0,185.0
1395,Eddie Alvarez,Dustin Poirier,110.0,-130.0,Draw,Talita Bernardo,Irene Aldana,115.0,-135.0,Blue,115.0,74.07407407
1396,Chas Skelly,Jason Knight,-110.0,-110.0,Blue,Kyung Ho Kang,Guido Cannetti,-290.0,245.0,Red,34.48275862,245.0
1397,Chase Sherman,Rashad Coulter,-110.0,-110.0,Red,Kalindra Faria,Jessica Eye,115.0,-135.0,Blue,115.0,74.07407407
1398,James Vick,Polo Reyes,-355.0,320.0,Red,Danielle Taylor,JJ Aldrich,110.0,-130.0,Blue,110.0,76.92307692
1399,Jessica Aguilar,Cortney Casey,140.0,-160.0,Blue,Mads Burnell,Mike Santiago,165.0,-190.0,Red,165.0,52.63157895
1400,Gabriel Benitez,Enrique Barzola,-135.0,115.0,Blue,Cris Cyborg,Holly Holm,-325.0,265.0,Red,30.76923077,265.0
1401,Joachim Christensen,Gadzhimurad Antigulov,315.0,-380.0,Blue,Khabib Nurmagomedov,Edson Barboza,-410.0,330.0,Red,24.390243899999998,330.0
1402,Cub Swanson,Artem Lobov,-600.0,450.0,Red,Dan Hooker,Marc Diakiese,165.0,-190.0,Red,165.0,52.63157895
1403,Al Iaquinta,Diego Sanchez,-420.0,335.0,Red,Cynthia Calvillo,Carla Esparza,-220.0,180.0,Blue,45.45454545,180.0
1404,Ovince Saint Preux,Marcos Rogerio de Lima,-160.0,140.0,Red,Carlos Condit,Neil Magny,-130.0,110.0,Blue,76.92307692,110.0
1405,John Dodson,Eddie Wineland,-400.0,325.0,Red,Myles Jury,Rick Glenn,-175.0,155.0,Red,57.14285714,155.0
1406,Joe Lauzon,Stevie Ray,145.0,-165.0,Blue,Louis Smolka,Matheus Nicolau,170.0,-200.0,Blue,170.0,50.0
1407,Jake Ellenberger,Mike Perry,105.0,-125.0,Blue,Tim Elliott,Mark De La Rosa,-190.0,165.0,Red,52.63157895,165.0
1408,Thales Leites,Sam Alvey,-125.0,105.0,Red,Robbie Lawler,Rafael Dos Anjos,105.0,-125.0,Blue,105.0,80.0
1409,Dustin Ortiz,Brandon Moreno,-120.0,100.0,Blue,Ricardo Lamas,Josh Emmett,-290.0,245.0,Blue,34.48275862,245.0
1410,Scott Holtzman,Michael McBride,-280.0,240.0,Red,Santiago Ponzinibbio,Mike Perry,-155.0,135.0,Red,64.51612903,135.0
1411,Jessica Penne,Danielle Taylor,-110.0,-110.0,Blue,Glover Teixeira,Misha Cirkunov,125.0,-145.0,Red,125.0,68.96551724
1412,Alexis Davis,Cindy Dandois,-290.0,245.0,Red,Jared Cannonier,Jan Blachowicz,-190.0,165.0,Blue,52.63157895,165.0
1413,Bryan Barberena,Joe Proctor,-330.0,270.0,Red,Julian Marquez,Darren Stewart,-340.0,280.0,Red,29.41176471,280.0
1414,Hector Sandoval,Matt Schnell,130.0,-150.0,Red,Chad Laprise,Galore Bofando,-145.0,125.0,Red,68.96551724,125.0
1415,Demetrious Johnson,Wilson Reis,-1100.0,700.0,Red,Nordine Taleb,Danny Roberts,-155.0,135.0,Red,64.51612903,135.0
1416,Rose Namajunas,Michelle Waterson,110.0,-130.0,Red,John Makdessi,Abel Trujillo,125.0,-145.0,Red,125.0,68.96551724
1417,Jacare Souza,Robert Whittaker,-265.0,225.0,Blue,Alessio Di Chirico,Oluwale Bamgbose,-160.0,140.0,Red,62.5,140.0
1418,Jeremy Stephens,Renato Moicano,-170.0,150.0,Blue,Jordan Mein,Erick Silva,-160.0,140.0,Red,62.5,140.0
1419,Alexander Volkov,Roy Nelson,-155.0,135.0,Red,Cub Swanson,Brian Ortega,100.0,-120.0,Blue,100.0,83.33333333
1420,Patrick Williams,Tom Duquesnoy,650.0,-1000.0,Blue,Jason Knight,Gabriel Benitez,-330.0,270.0,Blue,30.303030300000003,270.0
1421,Bobby Green,Rashid Magomedov,270.0,-330.0,Blue,Marlon Moraes,Aljamain Sterling,-145.0,135.0,Red,68.96551724,135.0
1422,Louis Smolka,Tim Elliott,160.0,-185.0,Blue,Scott Holtzman,Darrell Horcher,-145.0,125.0,Red,68.96551724,125.0
1423,Aljamain Sterling,Augusto Mendes,-400.0,325.0,Red,Eryk Anders,Markus Perez,-470.0,375.0,Red,21.27659574,375.0
1424,Devin Clark,Jake Collier,-140.0,120.0,Red,Albert Morales,Benito Lopez,105.0,-125.0,Blue,105.0,80.0
1425,Anthony Smith,Andrew Sanchez,270.0,-330.0,Red,Alexis Davis,Liz Carmouche,105.0,-125.0,Red,105.0,80.0
1426,Zak Cummings,Nathan Coy,-550.0,425.0,Red,Luke Sanders,Andre Soukhamthath,-345.0,285.0,Blue,28.98550725,285.0
1427,Ashlee Evans-Smith,Ketlen Vieira,-165.0,145.0,Blue,Carls John De Tomas,Alex Perez,335.0,-420.0,Blue,335.0,23.80952381
1428,Daniel Cormier,Anthony Johnson,120.0,-140.0,Red,Frankie Saenz,Merab Dvalishvili,165.0,-190.0,Red,165.0,52.63157895
1429,Chris Weidman,Gegard Mousasi,-105.0,-115.0,Blue,Alejandro Perez,Iuri Alcantara,155.0,-175.0,Red,155.0,57.14285714
1430,Cynthia Calvillo,Pearl Gonzalez,-280.0,240.0,Red,Chris Gruetzemacher,Davi Ramos,325.0,-400.0,Blue,325.0,25.0
1431,Thiago Alves,Patrick Cote,110.0,-130.0,Red,Antonio Braga Neto,Trevin Giles,230.0,-270.0,Blue,230.0,37.03703704
1432,Will Brooks,Charles Oliveira,-220.0,180.0,Blue,Max Holloway,Jose Aldo,-260.0,220.0,Red,38.46153846,220.0
1433,Myles Jury,Mike de la Torre,-450.0,360.0,Red,Alistair Overeem,Francis Ngannou,210.0,-230.0,Blue,210.0,43.47826087
1434,Kamaru Usman,Sean Strickland,-290.0,245.0,Red,Henry Cejudo,Sergio Pettis,-320.0,260.0,Red,31.25,260.0
1435,Shane Burgos,Charles Rosa,-255.0,215.0,Red,Eddie Alvarez,Justin Gaethje,150.0,-170.0,Red,150.0,58.82352941
1436,Patrick Cummins,Jan Blachowicz,-105.0,-115.0,Red,Tecia Torres,Michelle Waterson,-250.0,210.0,Red,40.0,210.0
1437,Gregor Gillespie,Andrew Holbrook,-290.0,245.0,Red,Charles Oliveira,Paul Felder,-135.0,115.0,Blue,74.07407407,115.0
1438,Josh Emmett,Desmond Green,-200.0,170.0,Blue,Alex Oliveira,Yancy Medeiros,-390.0,320.0,Blue,25.64102564,320.0
